fecha,indicador,valor,fuente
2022-03-26,TC_oficial_venta,116.0,argentinadatos.com
2022-03-27,TC_oficial_venta,116.0,argentinadatos.com
2022-03-28,TC_oficial_venta,116.0,argentinadatos.com
2022-03-29,TC_oficial_venta,116.0,argentinadatos.com
2022-03-30,TC_oficial_venta,116.0,argentinadatos.com
2022-03-31,TC_oficial_venta,116.0,argentinadatos.com
2022-04-01,TC_oficial_venta,117.0,argentinadatos.com
2022-04-02,TC_oficial_venta,117.0,argentinadatos.com
2022-04-03,TC_oficial_venta,117.0,argentinadatos.com
2022-04-04,TC_oficial_venta,117.0,argentinadatos.com
2022-04-05,TC_oficial_venta,117.0,argentinadatos.com
2022-04-06,TC_oficial_venta,117.0,argentinadatos.com
2022-04-07,TC_oficial_venta,118.0,argentinadatos.com
2022-04-08,TC_oficial_venta,118.0,argentinadatos.com
2022-04-09,TC_oficial_venta,118.0,argentinadatos.com
2022-04-10,TC_oficial_venta,118.0,argentinadatos.com
2022-04-11,TC_oficial_venta,118.0,argentinadatos.com
2022-04-12,TC_oficial_venta,118.0,argentinadatos.com
2022-04-13,TC_oficial_venta,118.0,argentinadatos.com
2022-04-14,TC_oficial_venta,118.0,argentinadatos.com
2022-04-15,TC_oficial_venta,118.0,argentinadatos.com
2022-04-16,TC_oficial_venta,118.0,argentinadatos.com
2022-04-17,TC_oficial_venta,118.0,argentinadatos.com
2022-04-18,TC_oficial_venta,119.0,argentinadatos.com
2022-04-19,TC_oficial_venta,119.0,argentinadatos.com
2022-04-20,TC_oficial_venta,119.0,argentinadatos.com
2022-04-21,TC_oficial_venta,120.0,argentinadatos.com
2022-04-22,TC_oficial_venta,120.0,argentinadatos.com
2022-04-23,TC_oficial_venta,120.0,argentinadatos.com
2022-04-24,TC_oficial_venta,120.0,argentinadatos.com
2022-04-25,TC_oficial_venta,120.0,argentinadatos.com
2022-04-26,TC_oficial_venta,120.0,argentinadatos.com
2022-04-27,TC_oficial_venta,120.0,argentinadatos.com
2022-04-28,TC_oficial_venta,120.0,argentinadatos.com
2022-04-29,TC_oficial_venta,121.0,argentinadatos.com
2022-04-30,TC_oficial_venta,121.0,argentinadatos.com
2022-05-01,TC_oficial_venta,121.0,argentinadatos.com
2022-05-02,TC_oficial_venta,121.0,argentinadatos.com
2022-05-03,TC_oficial_venta,121.0,argentinadatos.com
2022-05-04,TC_oficial_venta,121.0,argentinadatos.com
2022-05-05,TC_oficial_venta,122.0,argentinadatos.com
