ejercicio,jur_id,jur_desc,prg_id,prg_desc,monto_original,monto_vigente,monto_normalizado
2023,1,Poder Legislativo Nacional,43,"Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",534148534.15,1363795023.79,534148534.0
2024,1,Poder Legislativo Nacional,43,"Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",1376.59,3404.74,3404735590.0
2025,1,Poder Legislativo Nacional,43,"Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",3404.74,5269.59,5269594065.0
2026,1,Poder Legislativo Nacional,43,"Sistema Nacional de Prevencion de la Tortura y Otros Tratos o Penas Crueles, Inhumanos o Degradantes",5465.0,5407.57,5407570000.0
2023,1,Poder Legislativo Nacional,44,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)",2057112441.11,3354530013.53,2057112441.0
2024,1,Poder Legislativo Nacional,44,"Defensa de los Derechos de las Niñas, Niños y Adolescentes (NNA)",3356.03,7254.94,7254943914.0
2025,1,Poder Legislativo Nacional,44,"Defensa de los Derechos de las Niñas, Niños y Adolescentes",7254.94,8405.78,8405783916.0
2026,1,Poder Legislativo Nacional,44,"Defensa de los Derechos de las Niñas, Niños y Adolescentes",9194.0,8769.0,8769000000.0
2023,1,Poder Legislativo Nacional,45,Seguimiento de Contratos de Participacion Publico-Privada,20928020.93,20928020.93,20928021.0
2024,1,Poder Legislativo Nacional,45,Seguimiento de Contratos de Participacion Publico-Privada,20.93,20.93,20928000.0
2025,1,Poder Legislativo Nacional,45,Seguimiento de Contratos de Participacion Publico-Privada,20.93,0.0,0.0
2026,1,Poder Legislativo Nacional,45,Seguimiento de Contratos de Participacion Publico-Privada,24.0,24.0,24000000.0
2023,1,Poder Legislativo Nacional,46,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion,61173638.17,61173638.17,61173638.0
2024,1,Poder Legislativo Nacional,46,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion,61.17,61.17,61173577.0
2025,1,Poder Legislativo Nacional,46,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion,61.17,0.0,0.0
2026,1,Poder Legislativo Nacional,46,Seguimiento y Control de la Gestion de Contratacion y Pago de la Deuda Exterior de la Nacion,69.0,69.0,69000000.0
2023,1,Poder Legislativo Nacional,48,Administracion del Edificio del Molino,770000770.0,770000770.0,770000770.0
