jur_id,jur_desc,prg_id,año,desc,monto_normalizado
50,Ministerio de Economía,24,2025,Acciones para la Sanidad Animal,32565196761.0
50,Ministerio de Economía,24,2026,Suministros y Tecnologia del Ciclo de Combustible Nuclear,19575257458.0
50,Ministerio de Economía,25,2023,Coordinacion del Plan Nacional de Medicina,233000233.0
50,Ministerio de Economía,25,2024,Coordinacion del Plan Nacional de Medicina,651087204.0
50,Ministerio de Economía,25,2025,Acciones para la Proteccion Vegetal,30539619300.0
50,Ministerio de Economía,25,2026,Coordinacion del Plan Nacional de Medicina,1124205147.0
50,Ministerio de Economía,26,2023,Administracion Financiera,2699475872.0
50,Ministerio de Economía,26,2024,Administracion Financiera,23699893556.0
50,Ministerio de Economía,26,2025,Ejecucion Obras de Rehabilitacion y Mantenimiento en Red por Sistema de Gestion Integral,41502744906.0
50,Ministerio de Economía,26,2026,Acciones para la Inocuidad y Calidad Agroalimentaria,51166861673.0
50,Ministerio de Economía,3,2023,"Actividades Comunes de los Programas de la Secretaria de Agricultura, Ganaderia y Pesca",6440382232.0
50,Ministerio de Economía,3,2024,Actividades Comunes de los Programas de la Secretaria de Bioeconomia,8144852410.0
50,Ministerio de Economía,3,2026,Actividades Comunes a los Programas de las Secretarias de Energia y de Mineria,237915941.0
50,Ministerio de Economía,37,2023,Prevencion del Lavado de Activos,1833847655.0
50,Ministerio de Economía,37,2025,Planificacion Territorial de la Inversion Publica,29465790.0
50,Ministerio de Economía,37,2026,"Fiscalizacion, Regulacion y Control del Servicio de Transporte Terrestre",25938190720.0
50,Ministerio de Economía,39,2023,Formulacion de Politicas para la Agricultura Familiar y Desarrollo Productivo,5486746801.0
50,Ministerio de Economía,39,2025,Planificacion y Desarrollo Territorial,1693576629.0
50,Ministerio de Economía,4,2023,Actividad Comun de la Secretaria de Energia,1892306595.0
50,Ministerio de Economía,4,2024,Actividad Comun de la Secretaria de Energia,4431774433.0
50,Ministerio de Economía,4,2025,Actividades Comunes de la Secretaria de Energia,5952012894.0
50,Ministerio de Economía,4,2026,Actividades Comunes de los Programas de la Secretaria de Energia,2680685676.0
50,Ministerio de Economía,45,2023,Promocion de la Productividad y Competitividad PyME y el Desarrollo de los Emprendedores,4754624851.0
50,Ministerio de Economía,45,2024,Promocion de la Productividad y Competitividad PyME y el Desarrollo de los Emprendedores,3889897608.0
50,Ministerio de Economía,45,2025,Promocion de la Productividad y Competitividad PyME y el Desarrollo de los Emprendedores,0.0
50,Ministerio de Economía,45,2026,Administracion Financiera,481434996418.0
50,Ministerio de Economía,48,2023,Administracion de los Asuntos Economicos y Financieros  Internacionales,90601612.0
50,Ministerio de Economía,48,2024,Administracion de los Asuntos Economicos y Financieros  Internacionales,382416982.0
50,Ministerio de Economía,48,2025,Ejecucion Obras de Seguridad en Rutas Nacionales,1814276268.0
50,Ministerio de Economía,48,2026,Ejecucion Obras de Seguridad en Rutas Nacionales,191718165.0
50,Ministerio de Economía,49,2025,Reparacion y Construccion de Puentes y Alcantarillas,4708327727.0
50,Ministerio de Economía,49,2026,"Consolidacion Urbana, Mejoramiento de Barrios y Puesta en Valor de Centralidades",27271101676.0
50,Ministerio de Economía,52,2023,Formulacion y Ejecucion de Politicas de Desarrollo y Competitividad Federal,107368842.0
50,Ministerio de Economía,52,2024,Formulacion y Ejecucion de Politicas de Desarrollo y Competitividad Federal,187987589.0
50,Ministerio de Economía,52,2025,Mantenimiento y Reparacion de Obras de Arte,61483358.0
50,Ministerio de Economía,52,2026,Mantenimiento y Reparacion de Obras de Arte,0.0
50,Ministerio de Economía,53,2023,Coordinacion de Financiamientos Transversales y Federales y de la Asistencia a la Produccion,11526500051.0
