jur_id,jur_desc,prg_id,en_2023,en_2024,en_2025,en_2026,monto_2023,monto_2024,monto_2025,monto_2026,nombre_estable,nombres_distintos,alerta,desc_2023,desc_2026
25,Jefatura de Gabinete de Ministros,45,✗,✓,✓,✗,0,2198448291.0,397818265.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,46,✗,✓,✓,✗,0,3967210235.0,9732326225.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,47,✗,✓,✓,✗,0,11948148870.0,11188747210.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,48,✗,✓,✓,✗,0,27071975187.0,14952736832.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,49,✗,✗,✓,✗,0,0,7868823895.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,50,✓,✗,✓,✓,499335917.0,0,2714921666.0,22918575881.0,NO,Coordinacion de Proyectos Sociocomunitarios | Desarrollo del Turismo Nacional | Formulacion y Ejecucion de Politica en Ciencia y Tecnica,NOMBRE_CAMBIA,Coordinacion de Proyectos Sociocomunitarios,Formulacion y Ejecucion de Politica en Ciencia y Tecnica
25,Jefatura de Gabinete de Ministros,51,✓,✗,✓,✗,1440789440.0,0,6313570514.0,0,NO,Plan Federal de Turismo Social Responsable | Legitimar y Reconstruir Juventudes,NOMBRE_CAMBIA,Legitimar y Reconstruir Juventudes,
25,Jefatura de Gabinete de Ministros,52,✓,✗,✓,✗,32333288.0,0,1733408092.0,0,NO,Inversiones con Financiamiento Internacional | Argentina Futura,NOMBRE_CAMBIA,Argentina Futura,
25,Jefatura de Gabinete de Ministros,53,✗,✗,✓,✓,0,0,540878441.0,3445956862.0,NO,Calidad y Formacion Turistica | Calidad Turistica,NOMBRE_CAMBIA | NUEVO_POST2023,,Calidad Turistica
25,Jefatura de Gabinete de Ministros,54,✗,✗,✓,✗,0,0,21247369416.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,55,✗,✗,✓,✓,0,0,12263886529.0,11036712137.0,NO,"Deporte Federado e Iniciacion Deportiva | Estrategia, Coordinacion y Priorizacion de las Politicas Publicas",NOMBRE_CAMBIA | NUEVO_POST2023,,"Estrategia, Coordinacion y Priorizacion de las Politicas Publicas"
25,Jefatura de Gabinete de Ministros,56,✗,✗,✗,✓,0,0,0,7234170602.0,SI,,NUEVO_POST2023,,Desarrollo y Promocion Turistica
25,Jefatura de Gabinete de Ministros,57,✗,✗,✓,✗,0,0,81000000.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,58,✓,✓,✓,✗,755232613.0,4085594688.0,16488394948.0,0,SI,,,"Conectividad, Inclusion Digital y Formulacion de Politicas de TICs",
25,Jefatura de Gabinete de Ministros,62,✓,✓,✗,✗,33440053.0,3501598955.0,0,0,NO,Prevencion y Control de Discapacidades | Coordinacion de Iniciativas bajo la Modalidad de Contratos de Participacion Publica - Privada,NOMBRE_CAMBIA,Coordinacion de Iniciativas bajo la Modalidad de Contratos de Participacion Publica - Privada,
25,Jefatura de Gabinete de Ministros,68,✓,✓,✓,✗,2500002500.0,5421290.0,0.0,0,SI,,,Relaciones con la Sociedad Civil y Desarrollo Comunitario,
25,Jefatura de Gabinete de Ministros,74,✓,✗,✓,✗,20520458835.0,0,13454259852.0,0,NO,Politica Ambiental en Recursos Naturales | Prensa y Difusion de Actos de Gobierno,NOMBRE_CAMBIA,Prensa y Difusion de Actos de Gobierno,
25,Jefatura de Gabinete de Ministros,75,✓,✗,✓,✗,806947224.0,0,2549009848.0,0,NO,Promocion y Gestion del Cambio Climatico y el Desarrollo Sostenible | Acciones para la Federalizacion de la Comunicacion Publica y de los Contenidos,NOMBRE_CAMBIA,Acciones para la Federalizacion de la Comunicacion Publica y de los Contenidos,
25,Jefatura de Gabinete de Ministros,76,✗,✗,✓,✗,0,0,771644852.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,77,✗,✗,✓,✗,0,0,23601068325.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,79,✗,✗,✓,✗,0,0,3983851034.0,0,SI,,NUEVO_POST2023,,
25,Jefatura de Gabinete de Ministros,8,✓,✗,✓,✗,1225306274.0,0,7323407957.0,0,NO,Actividades Comun de Programas de Turismo y Deporte | Actividad Comun a los Programas 74 y 75,NOMBRE_CAMBIA,Actividad Comun a los Programas 74 y 75,
25,Jefatura de Gabinete de Ministros,80,✗,✗,✗,✓,0,0,0,22761436652.0,SI,,NUEVO_POST2023,,Politica Ambiental en Recursos Naturales
25,Jefatura de Gabinete de Ministros,81,✗,✗,✗,✓,0,0,0,2496644873.0,SI,,NUEVO_POST2023,,Promocion y Gestion del Impacto Climatico y el Desarrollo Sostenible
25,Jefatura de Gabinete de Ministros,82,✗,✗,✗,✓,0,0,0,586735780.0,SI,,NUEVO_POST2023,,Articulacion y Educacion Ambiental
